"","Rank","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"202",NA,"Kelowna, Canada",69.73,41.68,56.58,64.84,71.84,NA
"203",NA,"Columbus, OH, United States",69.7,37.02,54.38,67.9,NA,151.29
"204",NA,"Brescia, Italy",69.64,18.56,45.7,NA,69.04,69.1
"205",NA,"Eugene, OR, United States",69.64,37.71,54.67,78.13,67.36,88.21
"206",NA,"Macao, Macao",69.61,NA,56.23,72.72,NA,67.31
"207",NA,"Cologne, Germany",69.59,31.03,51.51,56.46,64.7,89.1
"208",NA,NA,NA,35.37,53.51,74.58,70.42,144.3
"209",NA,"Regina, Canada",69.44,NA,49.4,70.31,66.08,NA
"210",NA,"Phoenix, AZ, United States",69.37,43.85,57.4,66.78,71.42,135.94
"211",NA,"Des Moines, IA, United States",NA,30.03,50.91,72.4,65.94,108.35
"212",NA,NA,68.99,21.46,46.71,69.42,65.08,87.22
"213",NA,"Fresno, CA, United States",NA,34.02,52.59,64.72,72.91,116.4
"214",NA,"Berlin, Germany",68.94,38.59,54.71,56.41,61.05,105.86
"215",NA,"Cardiff, United Kingdom",68.91,29.64,NA,56.87,76.53,106.17
"216",NA,"Windsor, Canada",68.88,31.13,51.19,64.56,71.92,58.02
"217",NA,"Glasgow, United Kingdom",68.76,28.82,50.04,55.63,77.95,96.42
"218",NA,"Kitchener, Canada",68.7,35.83,53.29,NA,70.72,NA
"219",NA,"Vancouver, WA, United States",68.57,43.47,56.8,64.68,NA,126.09
"220",NA,"Kingston, Canada",68.57,33,51.9,68.42,65.4,75.42
"221",NA,"Augsburg, Germany",68.51,NA,48.53,55.01,66.96,79.93
"222",NA,"Stuttgart, Germany",68.38,35.27,52.86,55.5,71.32,109.02
"223",NA,"Vienna, Austria",68.36,34.66,52.56,61.71,66.93,79.56
"224",NA,"Mannheim, Germany",68.35,22.77,NA,NA,65.4,95.07
"225",NA,"Las Vegas, NV, United States",68.34,NA,54.22,61.14,73.39,124.83
"226",NA,"Boise, ID, United States",68.29,43.29,56.57,60.93,81.52,82.63
"227",NA,"Dusseldorf, Germany",68.28,32.44,51.48,NA,NA,109.99
"228",NA,"Raleigh, NC, United States",68.2,41.39,NA,70.36,69.44,144.12
"229",NA,"Pisa, Italy",68.17,22.37,46.7,66.1,66.85,52.1
"230",NA,NA,68.11,NA,52.63,64.88,NA,112.36
"231",NA,"Orlando, FL, United States",68.1,45.87,57.68,66.7,69.78,NA
"232",NA,"Dayton, OH, United States",NA,27.92,49.23,66.09,NA,79.21
"233",NA,"Verona, Italy",67.98,21.34,46.11,62.32,68.68,63.11
"234",NA,"Dallas, TX, United States",NA,50.17,59.56,63.61,71.74,170.66
"235",NA,"Richmond, VA, United States",67.75,37.52,53.58,65.07,77.5,130.94
"236",NA,"Louisville, KY, United States",67.71,32.24,51.09,NA,69.26,109.65
